gene_symbol	signature	value	drug	concentration	timepoint
HSPB1	trametinib_3.33_24	0.362103462278	trametinib	3.33	24
HSPB1	trametinib_10.0_24	0.335732780284	trametinib	10.0	24
IFRD2	trametinib_1.11_3	-0.117898930458	trametinib	1.11	3
IFRD2	trametinib_3.33_3	-0.336298115485	trametinib	3.33	3
IFRD2	trametinib_10.0_3	-0.110396520633	trametinib	10.0	3
IFRD2	trametinib_0.37_24	-0.11387220964	trametinib	0.37	24
IFRD2	trametinib_1.11_24	-0.08270809071	trametinib	1.11	24
IFRD2	trametinib_3.33_24	-0.0726597139967	trametinib	3.33	24
IFRD2	trametinib_10.0_24	-0.135280295924	trametinib	10.0	24
LSM5	trametinib_1.11_3	-0.0523109436139	trametinib	1.11	3
LSM5	trametinib_3.33_3	-0.0777364430091	trametinib	3.33	3
LSM5	trametinib_10.0_3	-0.184641172211	trametinib	10.0	3
LSM5	trametinib_0.37_24	-0.0310852300623	trametinib	0.37	24
LSM5	trametinib_1.11_24	-0.0420364682113	trametinib	1.11	24
LSM5	trametinib_3.33_24	-0.0985335669698	trametinib	3.33	24
LSM5	trametinib_10.0_24	-0.0777969999319	trametinib	10.0	24
MUC1	trametinib_1.11_3	-0.00425897559169	trametinib	1.11	3
MUC1	trametinib_3.33_3	-0.0105316677342	trametinib	3.33	3
MUC1	trametinib_10.0_3	-0.0059237763416	trametinib	10.0	3
MUC1	trametinib_0.37_24	0.132024259576	trametinib	0.37	24
MUC1	trametinib_1.11_24	0.143947626274	trametinib	1.11	24
MUC1	trametinib_3.33_24	0.136535260349	trametinib	3.33	24
MUC1	trametinib_10.0_24	0.134920406055	trametinib	10.0	24
PCNA	trametinib_1.11_3	0.164428470914	trametinib	1.11	3
PCNA	trametinib_3.33_3	0.116867023005	trametinib	3.33	3
PCNA	trametinib_10.0_3	-0.310330502083	trametinib	10.0	3
PCNA	trametinib_0.37_24	-0.139983085285	trametinib	0.37	24
PCNA	trametinib_1.11_24	-0.110883854684	trametinib	1.11	24
PCNA	trametinib_3.33_24	-0.115701542558	trametinib	3.33	24
PCNA	trametinib_10.0_24	-0.131471386222	trametinib	10.0	24
RGS2	trametinib_1.11_3	0.105745419133	trametinib	1.11	3
RGS2	trametinib_3.33_3	0.092038402753	trametinib	3.33	3
RGS2	trametinib_10.0_3	0.0680188632965	trametinib	10.0	3
RGS2	trametinib_0.37_24	0.0897536447438	trametinib	0.37	24
RGS2	trametinib_1.11_24	0.0908341627022	trametinib	1.11	24
RGS2	trametinib_3.33_24	0.0869213972804	trametinib	3.33	24
RGS2	trametinib_10.0_24	0.0998122017461	trametinib	10.0	24
TCEAL4	trametinib_1.11_3	0.0678117811907	trametinib	1.11	3
TCEAL4	trametinib_3.33_3	0.0359471077765	trametinib	3.33	3
TCEAL4	trametinib_10.0_3	0.0302158824201	trametinib	10.0	3
TCEAL4	trametinib_0.37_24	0.117629823225	trametinib	0.37	24
TCEAL4	trametinib_1.11_24	0.128170548346	trametinib	1.11	24
TCEAL4	trametinib_3.33_24	0.112407820416	trametinib	3.33	24
TCEAL4	trametinib_10.0_24	0.132038082889	trametinib	10.0	24
TOP2A	trametinib_1.11_3	0.0918778655988	trametinib	1.11	3
TOP2A	trametinib_3.33_3	0.070132471964	trametinib	3.33	3
TOP2A	trametinib_10.0_3	0.0510032161671	trametinib	10.0	3
TOP2A	trametinib_0.37_24	-0.127383364847	trametinib	0.37	24
TOP2A	trametinib_1.11_24	-0.139001267979	trametinib	1.11	24
TOP2A	trametinib_3.33_24	-0.138831940609	trametinib	3.33	24
TOP2A	trametinib_10.0_24	-0.13728648366	trametinib	10.0	24
TSC22D3	trametinib_1.11_3	0.0305317475202	trametinib	1.11	3
TSC22D3	trametinib_3.33_3	0.032129326047	trametinib	3.33	3
TSC22D3	trametinib_10.0_3	0.0205893052026	trametinib	10.0	3
TSC22D3	trametinib_0.37_24	0.132544947156	trametinib	0.37	24
TSC22D3	trametinib_1.11_24	0.150522981523	trametinib	1.11	24
TSC22D3	trametinib_3.33_24	0.147154176582	trametinib	3.33	24
TSC22D3	trametinib_10.0_24	0.163429044919	trametinib	10.0	24
TSPAN4	trametinib_1.11_3	0.0829963228508	trametinib	1.11	3
TSPAN4	trametinib_3.33_3	0.128544721717	trametinib	3.33	3
TSPAN4	trametinib_10.0_3	0.140790918177	trametinib	10.0	3
TSPAN4	trametinib_0.37_24	-0.0462898391887	trametinib	0.37	24
TSPAN4	trametinib_1.11_24	-0.0234885246386	trametinib	1.11	24
TSPAN4	trametinib_3.33_24	-0.0552061736664	trametinib	3.33	24
TSPAN4	trametinib_10.0_24	-0.058962243791	trametinib	10.0	24
TUBB6	trametinib_1.11_3	0.10229866753	trametinib	1.11	3
TUBB6	trametinib_3.33_3	0.0954608788254	trametinib	3.33	3
TUBB6	trametinib_10.0_3	0.219465177102	trametinib	10.0	3
TUBB6	trametinib_0.37_24	-0.0512789057253	trametinib	0.37	24
TUBB6	trametinib_1.11_24	-0.0542594358516	trametinib	1.11	24
TUBB6	trametinib_3.33_24	-0.023761421551	trametinib	3.33	24
TUBB6	trametinib_10.0_24	-0.0500026060653	trametinib	10.0	24
TXNRD1	trametinib_1.11_3	0.0165041724698	trametinib	1.11	3
TXNRD1	trametinib_3.33_3	0.0225844587567	trametinib	3.33	3
TXNRD1	trametinib_10.0_3	0.020852253563	trametinib	10.0	3
TXNRD1	trametinib_0.37_24	0.119761768369	trametinib	0.37	24
TXNRD1	trametinib_1.11_24	0.126488060452	trametinib	1.11	24
TXNRD1	trametinib_3.33_24	0.11689245232	trametinib	3.33	24
TXNRD1	trametinib_10.0_24	0.134853098645	trametinib	10.0	24
UBE2C	trametinib_1.11_3	0.0312390333747	trametinib	1.11	3
UBE2C	trametinib_3.33_3	0.050307207915	trametinib	3.33	3
UBE2C	trametinib_10.0_3	0.0174964657431	trametinib	10.0	3
UBE2C	trametinib_0.37_24	-0.125101995294	trametinib	0.37	24
UBE2C	trametinib_1.11_24	-0.132601952668	trametinib	1.11	24
UBE2C	trametinib_3.33_24	-0.0860758453221	trametinib	3.33	24
UBE2C	trametinib_10.0_24	-0.126284346559	trametinib	10.0	24
