source_gene_symbol	source_gene_symbol	target_gene_symbol	value
PNP	PNP	PCNA	0.701757066463
IFRD2	IFRD2	PCNA	0.494881588999
DDIT4	DDIT4	PCNA	0.0420168067227
TSC22D3	TSC22D3	PCNA	-0.400152788388
CREG1	CREG1	PCNA	-0.280366692131
TES	TES	PCNA	-0.443544690604
CTSD	CTSD	PCNA	-0.509854851031
TXNRD1	TXNRD1	PCNA	-0.342704354469
TRIB3	TRIB3	PCNA	-0.527883880825
TUBB6	TUBB6	PCNA	0.660504201681
GAPDH	GAPDH	PCNA	-0.240336134454
VDAC1	VDAC1	HSPB1	0.0857142857143
DNAJA3	DNAJA3	HSPB1	0.485103132162
ACLY	ACLY	HSPB1	-0.3179526356
APP	APP	HSPB1	0.787929717341
HSPA8	HSPA8	HSPB1	-0.564858670741
PCNA	PCNA	HSPB1	-0.353399541635
SNAP25	SNAP25	HSPB1	-0.243086325439
CDC20	CDC20	HSPB1	-0.68525592055
SQSTM1	SQSTM1	HSPB1	0.797402597403
TLR4	TLR4	HSPB1	-0.338120702827
BTK	BTK	HSPB1	-0.163025210084
GNAS	GNAS	HSPB1	0.508632543927
LSM5	LSM5	HSPB1	-0.239113827349
PNP	PNP	HSPB1	-0.540412528648
IFRD2	IFRD2	HSPB1	-0.598472116119
DDIT4	DDIT4	HSPB1	0.520855614973
TSC22D3	TSC22D3	HSPB1	0.725286478228
CREG1	CREG1	HSPB1	0.871046600458
TES	TES	HSPB1	0.364094728801
CTSD	CTSD	HSPB1	0.698701298701
TXNRD1	TXNRD1	HSPB1	0.814514896868
TRIB3	TRIB3	HSPB1	0.357066462949
TUBB6	TUBB6	HSPB1	-0.313063407181
GAPDH	GAPDH	HSPB1	0.868907563025
VDAC1	VDAC1	SNAP25	-0.550802139037
DNAJA3	DNAJA3	SNAP25	0.294423223835
ACLY	ACLY	SNAP25	-0.404125286478
APP	APP	SNAP25	0.0637127578304
HSPA8	HSPA8	SNAP25	-0.256226126814
PCNA	PCNA	SNAP25	-0.318258212376
HSPB1	HSPB1	SNAP25	-0.243086325439
CDC20	CDC20	SNAP25	-0.233919022154
SQSTM1	SQSTM1	SNAP25	-0.176470588235
TLR4	TLR4	SNAP25	0.236974789916
BTK	BTK	SNAP25	0.587776928953
GNAS	GNAS	SNAP25	-0.438655462185
LSM5	LSM5	SNAP25	-0.30756302521
PNP	PNP	SNAP25	-0.320091673033
IFRD2	IFRD2	SNAP25	-0.178609625668
DDIT4	DDIT4	SNAP25	-0.458823529412
TSC22D3	TSC22D3	SNAP25	-0.210695187166
CREG1	CREG1	SNAP25	-0.134912146677
TES	TES	SNAP25	0.258365164248
CTSD	CTSD	SNAP25	-0.0154316271963
TXNRD1	TXNRD1	SNAP25	-0.215889992361
TRIB3	TRIB3	SNAP25	0.225057295646
TUBB6	TUBB6	SNAP25	-0.405958747135
GAPDH	GAPDH	SNAP25	-0.159663865546
VDAC1	VDAC1	CDC20	0.50282658518
DNAJA3	DNAJA3	CDC20	-0.613139801375
ACLY	ACLY	CDC20	0.669365928189
APP	APP	CDC20	-0.646753246753
