source_gene_symbol	source_gene_symbol	target_gene_symbol	value
ACLY	ACLY	GAPDH	-0.221084797555
APP	APP	GAPDH	0.763483575248
HSPA8	HSPA8	GAPDH	-0.593888464477
PCNA	PCNA	GAPDH	-0.240336134454
HSPB1	HSPB1	GAPDH	0.868907563025
SNAP25	SNAP25	GAPDH	-0.159663865546
CDC20	CDC20	GAPDH	-0.445989304813
SQSTM1	SQSTM1	GAPDH	0.687089381207
TLR4	TLR4	GAPDH	-0.321313980138
BTK	BTK	GAPDH	-0.254087089381
GNAS	GNAS	GAPDH	0.501909854851
LSM5	LSM5	GAPDH	-0.231168831169
PNP	PNP	GAPDH	-0.418181818182
IFRD2	IFRD2	GAPDH	-0.440488922842
DDIT4	DDIT4	GAPDH	0.613750954927
TSC22D3	TSC22D3	GAPDH	0.589304812834
CREG1	CREG1	GAPDH	0.842016806723
TES	TES	GAPDH	0.342704354469
CTSD	CTSD	GAPDH	0.449656226127
TXNRD1	TXNRD1	GAPDH	0.653170359053
TRIB3	TRIB3	GAPDH	0.318869365928
TUBB6	TUBB6	GAPDH	-0.191138273491
