gene_symbol	signature	value	drug	concentration	timepoint
ACLY	dasatinib_0.12_24	-0.030075807734	dasatinib	0.12	24
ACLY	dasatinib_0.37_24	-0.0277448489987	dasatinib	0.37	24
ACLY	dasatinib_1.11_24	-0.0494173585732	dasatinib	1.11	24
ACLY	dasatinib_3.33_24	-0.0415825144453	dasatinib	3.33	24
ACLY	dasatinib_10.0_24	-0.0239894132629	dasatinib	10.0	24
SNAP25	dasatinib_0.04_24	-0.10432129443	dasatinib	0.04	24
SNAP25	dasatinib_0.12_24	0.0462984632942	dasatinib	0.12	24
SNAP25	dasatinib_0.37_24	-0.0533182872688	dasatinib	0.37	24
SNAP25	dasatinib_1.11_24	-0.0338337777716	dasatinib	1.11	24
SNAP25	dasatinib_3.33_24	-0.0891451527141	dasatinib	3.33	24
SNAP25	dasatinib_10.0_24	-0.0776225062181	dasatinib	10.0	24
TUBB6	dasatinib_0.04_24	-0.0772561540465	dasatinib	0.04	24
TUBB6	dasatinib_0.12_24	-0.0887645985268	dasatinib	0.12	24
TUBB6	dasatinib_0.37_24	-0.182983429326	dasatinib	0.37	24
TUBB6	dasatinib_1.11_24	-0.0831413533924	dasatinib	1.11	24
TUBB6	dasatinib_3.33_24	-0.0706602730726	dasatinib	3.33	24
TUBB6	dasatinib_10.0_24	-0.11153392431	dasatinib	10.0	24
MAP7	dasatinib_0.04_24	-0.0617243753256	dasatinib	0.04	24
MAP7	dasatinib_0.12_24	0.189680086272	dasatinib	0.12	24
MAP7	dasatinib_0.37_24	-0.110710332364	dasatinib	0.37	24
MAP7	dasatinib_1.11_24	-0.0570474386332	dasatinib	1.11	24
MAP7	dasatinib_3.33_24	-0.0492355960013	dasatinib	3.33	24
MAP7	dasatinib_10.0_24	-0.0872404016256	dasatinib	10.0	24
CAPN1	dasatinib_0.04_24	0.129496356364	dasatinib	0.04	24
CAPN1	dasatinib_0.12_24	0.147868199552	dasatinib	0.12	24
CAPN1	dasatinib_0.37_24	0.144616154409	dasatinib	0.37	24
CAPN1	dasatinib_1.11_24	0.155949283249	dasatinib	1.11	24
CAPN1	dasatinib_3.33_24	0.165349590315	dasatinib	3.33	24
CAPN1	dasatinib_10.0_24	0.147019498978	dasatinib	10.0	24
CREG1	dasatinib_0.04_24	0.118938073433	dasatinib	0.04	24
CREG1	dasatinib_0.12_24	0.0811225097718	dasatinib	0.12	24
CREG1	dasatinib_0.37_24	0.0748419334324	dasatinib	0.37	24
CREG1	dasatinib_1.11_24	0.0682825814816	dasatinib	1.11	24
CREG1	dasatinib_3.33_24	0.123736495114	dasatinib	3.33	24
CREG1	dasatinib_10.0_24	0.13827695163	dasatinib	10.0	24
CTSD	dasatinib_0.04_24	0.115413161255	dasatinib	0.04	24
CTSD	dasatinib_0.12_24	0.118318322661	dasatinib	0.12	24
CTSD	dasatinib_0.37_24	0.161805301604	dasatinib	0.37	24
CTSD	dasatinib_1.11_24	0.156790406132	dasatinib	1.11	24
CTSD	dasatinib_3.33_24	0.147786313413	dasatinib	3.33	24
CTSD	dasatinib_10.0_24	0.0958003329461	dasatinib	10.0	24
S100A4	dasatinib_0.04_24	0.0979969062309	dasatinib	0.04	24
S100A4	dasatinib_0.12_24	0.123993848482	dasatinib	0.12	24
S100A4	dasatinib_0.37_24	0.117723143941	dasatinib	0.37	24
S100A4	dasatinib_1.11_24	0.13979085389	dasatinib	1.11	24
S100A4	dasatinib_3.33_24	0.139445336506	dasatinib	3.33	24
S100A4	dasatinib_10.0_24	0.116468205162	dasatinib	10.0	24
ADO	dasatinib_0.04_24	0.0750554043537	dasatinib	0.04	24
ADO	dasatinib_0.12_24	0.0335321412372	dasatinib	0.12	24
ADO	dasatinib_0.37_24	0.0147964671374	dasatinib	0.37	24
ADO	dasatinib_1.11_24	0.0464435153505	dasatinib	1.11	24
ADO	dasatinib_3.33_24	0.0472468334198	dasatinib	3.33	24
ADO	dasatinib_10.0_24	0.00744282589056	dasatinib	10.0	24
LAMA3	dasatinib_0.04_24	-0.14717829234	dasatinib	0.04	24
LAMA3	dasatinib_0.12_24	-0.0690220994074	dasatinib	0.12	24
LAMA3	dasatinib_0.37_24	-0.119806843771	dasatinib	0.37	24
LAMA3	dasatinib_1.11_24	-0.182500478784	dasatinib	1.11	24
LAMA3	dasatinib_3.33_24	-0.18243350968	dasatinib	3.33	24
