source_gene_symbol	source_gene_symbol	target_gene_symbol	value
TCEAL4	TCEAL4	PCNA	-0.457142857143
MUC1	MUC1	PCNA	-0.535960591133
TOP2A	TOP2A	PCNA	0.772906403941
DUSP6	DUSP6	PCNA	-0.571921182266
CAPN1	CAPN1	PCNA	-0.600492610837
CCNB2	CCNB2	PCNA	0.833497536946
TXNRD1	TXNRD1	PCNA	-0.333990147783
TSPAN4	TSPAN4	PCNA	0.632512315271
TUBB6	TUBB6	PCNA	0.730541871921
FOSL1	FOSL1	PCNA	0.534975369458
GAPDH	GAPDH	PCNA	-0.0743842364532
E2F2	E2F2	HSPB1	-0.333497536946
RGS2	RGS2	HSPB1	0.447783251232
ACLY	ACLY	HSPB1	0.3
APP	APP	HSPB1	0.83842364532
CCNB1	CCNB1	HSPB1	-0.610837438424
PCNA	PCNA	HSPB1	-0.409359605911
BIRC5	BIRC5	HSPB1	-0.647783251232
CDC20	CDC20	HSPB1	-0.667980295567
UBE2C	UBE2C	HSPB1	-0.734975369458
LSM5	LSM5	HSPB1	-0.610344827586
IFRD2	IFRD2	HSPB1	-0.0699507389163
TSC22D3	TSC22D3	HSPB1	0.788669950739
CREG1	CREG1	HSPB1	0.939408866995
TCEAL4	TCEAL4	HSPB1	0.725123152709
MUC1	MUC1	HSPB1	0.775369458128
TOP2A	TOP2A	HSPB1	-0.612807881773
DUSP6	DUSP6	HSPB1	-0.0541871921182
CAPN1	CAPN1	HSPB1	0.716256157635
CCNB2	CCNB2	HSPB1	-0.701477832512
TXNRD1	TXNRD1	HSPB1	0.793596059113
TSPAN4	TSPAN4	HSPB1	-0.199507389163
TUBB6	TUBB6	HSPB1	-0.630541871921
FOSL1	FOSL1	HSPB1	-0.553694581281
GAPDH	GAPDH	HSPB1	0.812807881773
E2F2	E2F2	BIRC5	0.28078817734
RGS2	RGS2	BIRC5	-0.31724137931
ACLY	ACLY	BIRC5	0.105418719212
APP	APP	BIRC5	-0.722660098522
CCNB1	CCNB1	BIRC5	0.758128078818
PCNA	PCNA	BIRC5	0.679310344828
HSPB1	HSPB1	BIRC5	-0.647783251232
CDC20	CDC20	BIRC5	0.497044334975
UBE2C	UBE2C	BIRC5	0.827586206897
LSM5	LSM5	BIRC5	0.552709359606
IFRD2	IFRD2	BIRC5	0.197044334975
TSC22D3	TSC22D3	BIRC5	-0.754679802956
CREG1	CREG1	BIRC5	-0.646305418719
TCEAL4	TCEAL4	BIRC5	-0.809359605911
MUC1	MUC1	BIRC5	-0.705418719212
TOP2A	TOP2A	BIRC5	0.856157635468
DUSP6	DUSP6	BIRC5	-0.39802955665
CAPN1	CAPN1	BIRC5	-0.76354679803
CCNB2	CCNB2	BIRC5	0.843349753695
TXNRD1	TXNRD1	BIRC5	-0.713793103448
TSPAN4	TSPAN4	BIRC5	0.48078817734
TUBB6	TUBB6	BIRC5	0.770443349754
FOSL1	FOSL1	BIRC5	0.774384236453
GAPDH	GAPDH	BIRC5	-0.27684729064
E2F2	E2F2	CDC20	0.246798029557
RGS2	RGS2	CDC20	-0.448275862069
ACLY	ACLY	CDC20	-0.169458128079
APP	APP	CDC20	-0.517733990148
CCNB1	CCNB1	CDC20	0.531034482759
PCNA	PCNA	CDC20	0.366009852217
HSPB1	HSPB1	CDC20	-0.667980295567
BIRC5	BIRC5	CDC20	0.497044334975
UBE2C	UBE2C	CDC20	0.641871921182
LSM5	LSM5	CDC20	0.715763546798
IFRD2	IFRD2	CDC20	0.144334975369
TSC22D3	TSC22D3	CDC20	-0.497044334975
CREG1	CREG1	CDC20	-0.691625615764
TCEAL4	TCEAL4	CDC20	-0.515270935961
MUC1	MUC1	CDC20	-0.671428571429
TOP2A	TOP2A	CDC20	0.575369458128
DUSP6	DUSP6	CDC20	0.0108374384236
CAPN1	CAPN1	CDC20	-0.522660098522
CCNB2	CCNB2	CDC20	0.494088669951
TXNRD1	TXNRD1	CDC20	-0.464532019704
TSPAN4	TSPAN4	CDC20	0.360591133005
TUBB6	TUBB6	CDC20	0.588177339901
FOSL1	FOSL1	CDC20	0.354679802956
GAPDH	GAPDH	CDC20	-0.45763546798
E2F2	E2F2	UBE2C	0.315270935961
RGS2	RGS2	UBE2C	-0.430049261084
ACLY	ACLY	UBE2C	0.186699507389
APP	APP	UBE2C	-0.700492610837
CCNB1	CCNB1	UBE2C	0.760098522167
PCNA	PCNA	UBE2C	0.715270935961
HSPB1	HSPB1	UBE2C	-0.734975369458
BIRC5	BIRC5	UBE2C	0.827586206897
CDC20	CDC20	UBE2C	0.641871921182
LSM5	LSM5	UBE2C	0.687684729064
IFRD2	IFRD2	UBE2C	0.435467980296
TSC22D3	TSC22D3	UBE2C	-0.65763546798
CREG1	CREG1	UBE2C	-0.741871921182
TCEAL4	TCEAL4	UBE2C	-0.668965517241
MUC1	MUC1	UBE2C	-0.712807881773
TOP2A	TOP2A	UBE2C	0.797044334975
DUSP6	DUSP6	UBE2C	-0.208374384236
CAPN1	CAPN1	UBE2C	-0.704433497537
CCNB2	CCNB2	UBE2C	0.875369458128
TXNRD1	TXNRD1	UBE2C	-0.56354679803
TSPAN4	TSPAN4	UBE2C	0.64039408867
TUBB6	TUBB6	UBE2C	0.881280788177
FOSL1	FOSL1	UBE2C	0.554187192118
GAPDH	GAPDH	UBE2C	-0.404433497537
E2F2	E2F2	LSM5	0.391625615764
RGS2	RGS2	LSM5	-0.532019704433
ACLY	ACLY	LSM5	-0.1
APP	APP	LSM5	-0.439901477833
CCNB1	CCNB1	LSM5	0.632512315271
PCNA	PCNA	LSM5	0.475862068966
HSPB1	HSPB1	LSM5	-0.610344827586
BIRC5	BIRC5	LSM5	0.552709359606
CDC20	CDC20	LSM5	0.715763546798
UBE2C	UBE2C	LSM5	0.687684729064
IFRD2	IFRD2	LSM5	0.418719211823
TSC22D3	TSC22D3	LSM5	-0.570443349754
CREG1	CREG1	LSM5	-0.654679802956
TCEAL4	TCEAL4	LSM5	-0.566995073892
MUC1	MUC1	LSM5	-0.731034482759
TOP2A	TOP2A	LSM5	0.691625615764
DUSP6	DUSP6	LSM5	-0.183251231527
CAPN1	CAPN1	LSM5	-0.688669950739
CCNB2	CCNB2	LSM5	0.555172413793
TXNRD1	TXNRD1	LSM5	-0.512315270936
TSPAN4	TSPAN4	LSM5	0.48078817734
TUBB6	TUBB6	LSM5	0.75763546798
FOSL1	FOSL1	LSM5	0.32315270936
GAPDH	GAPDH	LSM5	-0.331034482759
E2F2	E2F2	IFRD2	0.129064039409
RGS2	RGS2	IFRD2	-0.350738916256
ACLY	ACLY	IFRD2	0.485714285714
APP	APP	IFRD2	0.0177339901478
CCNB1	CCNB1	IFRD2	0.308866995074
PCNA	PCNA	IFRD2	0.462561576355
HSPB1	HSPB1	IFRD2	-0.0699507389163
BIRC5	BIRC5	IFRD2	0.197044334975
CDC20	CDC20	IFRD2	0.144334975369
UBE2C	UBE2C	IFRD2	0.435467980296
LSM5	LSM5	IFRD2	0.418719211823
TSC22D3	TSC22D3	IFRD2	-0.0167487684729
CREG1	CREG1	IFRD2	-0.0975369458128
TCEAL4	TCEAL4	IFRD2	-0.0477832512315
MUC1	MUC1	IFRD2	-0.121674876847
TOP2A	TOP2A	IFRD2	0.352709359606
DUSP6	DUSP6	IFRD2	-0.466009852217
CAPN1	CAPN1	IFRD2	-0.177832512315
CCNB2	CCNB2	IFRD2	0.379802955665
TXNRD1	TXNRD1	IFRD2	-0.0118226600985
TSPAN4	TSPAN4	IFRD2	0.543349753695
TUBB6	TUBB6	IFRD2	0.489162561576
FOSL1	FOSL1	IFRD2	0.020197044335
GAPDH	GAPDH	IFRD2	0.185714285714
E2F2	E2F2	TSC22D3	-0.505911330049
RGS2	RGS2	TSC22D3	0.409359605911
ACLY	ACLY	TSC22D3	0.371921182266
APP	APP	TSC22D3	0.822167487685
CCNB1	CCNB1	TSC22D3	-0.67881773399
PCNA	PCNA	TSC22D3	-0.430049261084
HSPB1	HSPB1	TSC22D3	0.788669950739
BIRC5	BIRC5	TSC22D3	-0.754679802956
CDC20	CDC20	TSC22D3	-0.497044334975
UBE2C	UBE2C	TSC22D3	-0.65763546798
LSM5	LSM5	TSC22D3	-0.570443349754
IFRD2	IFRD2	TSC22D3	-0.0167487684729
CREG1	CREG1	TSC22D3	0.806403940887
TCEAL4	TCEAL4	TSC22D3	0.893103448276
MUC1	MUC1	TSC22D3	0.83645320197
TOP2A	TOP2A	TSC22D3	-0.70197044335
DUSP6	DUSP6	TSC22D3	-0.00738916256158
CAPN1	CAPN1	TSC22D3	0.849753694581
CCNB2	CCNB2	TSC22D3	-0.704926108374
TXNRD1	TXNRD1	TSC22D3	0.90197044335
TSPAN4	TSPAN4	TSC22D3	-0.139408866995
TUBB6	TUBB6	TSC22D3	-0.632512315271
FOSL1	FOSL1	TSC22D3	-0.780295566502
GAPDH	GAPDH	TSC22D3	0.580295566502
E2F2	E2F2	CREG1	-0.467980295567
RGS2	RGS2	CREG1	0.570443349754
ACLY	ACLY	CREG1	0.345812807882
APP	APP	CREG1	0.806896551724
CCNB1	CCNB1	CREG1	-0.62118226601
PCNA	PCNA	CREG1	-0.32315270936
HSPB1	HSPB1	CREG1	0.939408866995
